Entry_id,Title,Description,Published Date,Location,URL
h1459526,HR Coordinator,Er du interesseret i at spille en central rolle inden for HR i en innovativ logistikvirksomhed i rivende udvikling ,2024-04-11,Horsens,https://www.jobindex.dk/vis-job/h1459526
h1459525,Product Data Management PDM Supporter,Er du erfaren i produktdatahåndtering og brænder du for at udvikle og optimere processer til datakvalitet og vedligehold Så læs med nedenfor,2024-04-11,Skjern,https://www.jobindex.dk/vis-job/h1459525
h1459524,Redovisningsmedarbetare till Nordiska ministerrådet i Kpenhamn,Vill du arbeta fr att frverkliga ministerrådets vergripande vision fr 2030 Norden ska vara vrldens mest hållbara och integrerade region r du intresserad av att arbeta med ekonomi och redovisning i en internationell milj I så fall r du kanske vår nya medarbetare på ekonomiavdelningen,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459524
h1459523,Violinlærer og kompagnonunderviser til Musikskolen Greve KulturBase,Musik skal være for alle og i Greve KulturBase er vi drevet af fokus på eleverne,2024-04-11,Greve,https://www.jobindex.dk/vis-job/h1459523
h1459520,Engageret og kyndig programchef til Villum Fondens uddelinger inden for teknisk og naturvidenskabelig forskning,Vil du arbejde for at styrke dansk teknisk og naturvidenskabelig forskning på højeste internationale niveau,2024-04-11,Søborg,https://www.jobindex.dk/vis-job/h1459520
h1459517,Teamleder til vores økonomiteam,Er du klar til at arbejde med ledelse og en masse spændende økonomiopgaver Kunne du tænke dig at arbejde i en almen boligorganisation Så har vi det rigtige job til dig,2024-04-11,Aarhus V,https://www.jobindex.dk/vis-job/h1459517
h1459516,Senior Projektleder  tag lead på vores nye elektriske lokomotiver og vogne,Vil du være med til at omstille den danske togdrift til at blive fuldt eldrevet ,2024-04-11,Taastrup,https://www.jobindex.dk/vis-job/h1459516
h1459515,Administrationschef til Den Kongelige Ballet,Vil du have en ledende rolle på Det Kongelige Teater og sammen med balletmesteren sikre et højt professionelt niveau både på og bag scenen og i de administrative processer for Den Kongelige Ballet,2024-04-11,København K,https://www.jobindex.dk/vis-job/h1459515
h1459514,Microsoft Azure Cloud Engineer,,2024-04-11,København S,https://www.jobindex.dk/vis-job/h1459514
h1459511,Sampension søger faglig stærk proceskonsulent,Brænder du for at optimere arbejdsgange drive forandringer og skabe gode kundeoplevelser ,2024-04-11,Hellerup,https://www.jobindex.dk/vis-job/h1459511
h1459506,Service Sales Specialist for Wind Service,You will take part in building and developing the business area to a new level,2024-04-11,Skovlunde,https://www.jobindex.dk/vis-job/h1459506
h1459502,Account Manager,Vi søger en nu dygtig Account Manager der med sit personlige drive og høje engagement selvstændigt formår at opsøge og drive projekter Du får ansvar for at opsøge nye relevante virksomheder for løbende at udvide din kontaktflade samt udvikle samarbejde med eksisterende kunder ,2024-04-11,Ballerup,https://www.jobindex.dk/vis-job/h1459502
h1459498,Finansministeriet søger medarbejdere til arbejdet med erhvervspolitik produktivitet og statslige selskaber,Har du lyst til at være med i det politiske maskinrum og kan du udarbejde skarpe analyser og skrive oplæg til regeringen når der skal træffes store beslutninger om statens selskaber eller fremtidens erhvervspolitik,2024-04-11,København,https://www.jobindex.dk/vis-job/h1459498
h1459497,Seniorudviklere med lyst til faglige udfordringer,Vil du arbejde med moderne teknologier og videreudvikle itløsninger der understøtter indberetninger dataudveksling og kontrol Og kan du se dig selv i et moderne DevOps setup hvor vi arbejder mod samme mål  så har vi brug for dig,2024-04-11,Frederiksberg,https://www.jobindex.dk/vis-job/h1459497
h1459494,Technical Support Manager,You will be part of a strong European technical team that provides onsite and remote technical support to customers and PPG associates,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459494
h1459493,Terminalassistent og bådfører til Malik Thyborøn,Vi søger en terminalassistent og bådfører som er frisk og imødekommende Måske overvejer du et maritimt job hvor du ikke er væk fra familien,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459493
